Accession,Sample,Specimen,Species,State,County,Latitude,Longitude,Elevation,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SAMN21243161,RAP1291,AMNH A-194200,NTA,GA,Macon,35.06856,-83.52907,1070,10.89,19.2,2.13,1912.35,196.46,130.46,10.27,524.95,426.02,461.51,494.44,12.26,40.14,693.54,25.94,-4.61,30.55,3.3,16.05,1102.25,1098.89,1.92,0.42,19.57,211.2,46034.67,33474.57,65.06,140.91,6.93,37.18,106.97,4555.85,145.52,50.91,124.41,66d,6,601,60102,6010202,601020203,60102020302,16.44,7.79,8.15,2.1,1.5,0.98,3.8,1.69,0.98,0.61,2.93,1.21,1.15,1,0.62,0.73,1.34
SAMN21243162,RAP1307,MNHN-RA 2021.0143,NTA,GA,Union,34.75275,-84.01403,741,12.35,20.99,3.28,1667.07,178.2,109.71,12.56,483.04,362.55,394.11,449.08,12.46,39.79,718.16,27.82,-3.51,31.32,4.58,17.62,809.23,1159.59,10.2,0.32,20.2,186.23,52068.37,36894.65,75.16,156.8,7,39.92,113.06,4735.45,152.85,54.29,161.17,66d,6,602,60200,6020003,602000301,60200030102,21.37,12.41,11.92,2.82,1.88,1.31,4.48,1.96,1.29,0.45,3.35,1.42,1.27,1.24,0.67,0.95,1.75
SAMN21243163,RAP1308,AMNH A-194131,NTA,GA,Union,34.75275,-84.01403,741,12.35,20.99,3.28,1667.07,178.2,109.71,12.56,483.04,362.55,394.11,449.08,12.46,39.79,718.16,27.82,-3.51,31.32,4.58,17.62,809.23,1159.59,10.2,0.32,20.2,186.23,52068.37,36894.65,75.16,156.8,7,39.92,113.06,4735.45,152.85,54.29,161.17,66d,6,602,60200,6020003,602000301,60200030102,26.06,17.35,14.36,3.08,2.32,1.02,5.74,2.59,1.55,0.66,3.75,1.58,1.28,1.18,0.71,1.06,1.57
SAMN21243164,RAP1328,AMNH A-194134,NTA,GA,Lumpkin,34.64158,-83.94225,509,13.87,22.59,4.79,1579.68,169.85,109.54,13.14,466.69,347.23,366.54,432.69,12.82,40.43,719.72,29.53,-2.18,31.72,6.16,19.07,557.14,1224.78,16.5,0.25,20.28,175.6,58063.92,40252.58,89.77,170.63,7,43,91.98,4926.15,160.06,58.27,204.24,45a,3,313,31300,3130001,313000105,31300010505,17.69,10.05,9.61,2.08,1.78,1.39,4.13,1.64,0.79,0.41,2.85,1.32,1,0.79,0.42,0.67,1.19
SAMN21243165,RAP1329,AMNH A-194135,NTA,GA,Lumpkin,34.64158,-83.94225,509,13.87,22.59,4.79,1579.68,169.85,109.54,13.14,466.69,347.23,366.54,432.69,12.82,40.43,719.72,29.53,-2.18,31.72,6.16,19.07,557.14,1224.78,16.5,0.25,20.28,175.6,58063.92,40252.58,89.77,170.63,7,43,91.98,4926.15,160.06,58.27,204.24,45a,3,313,31300,3130001,313000105,31300010505,24.65,6.21,13.48,3.05,1.78,1.9,5.27,2.47,1.34,0.63,3.66,1.45,1.3,1.41,0.76,1.03,1.78
SAMN21243166,RAP1340,AMNH A-194137,NTA,GA,Dawson,34.42553,-84.21087,382,14.58,23.53,5.24,1519.02,167.22,103,15.34,457.92,323,346.7,422.4,12.29,38.62,739.17,30.38,-1.44,31.82,6.71,19.84,415.7,1237.87,22.55,0.2,20.68,165.53,61678.34,55377.66,92.57,181.88,7,43.54,119.76,4972.2,161.84,59.13,226.54,45a,3,315,31501,3150104,315010402,31501040204,22.91,2.1,12.81,3,2.12,1.41,4.8,2.51,1.34,0.59,3.44,1.54,1.11,1.16,0.69,0.9,1.55
SAMN21243167,RAP1341,AMNH A-194138,NTA,GA,Dawson,34.42553,-84.21087,382,14.58,23.53,5.24,1519.02,167.22,103,15.34,457.92,323,346.7,422.4,12.29,38.62,739.17,30.38,-1.44,31.82,6.71,19.84,415.7,1237.87,22.55,0.2,20.68,165.53,61678.34,55377.66,92.57,181.88,7,43.54,119.76,4972.2,161.84,59.13,226.54,45a,3,315,31501,3150104,315010402,31501040204,23.28,15.82,12.77,2.91,2.12,1.05,5.01,2.22,1.2,0.5,3.47,1.42,1.28,1.06,0.53,0.88,1.53
SAMN21243168,RAP1352,AMNH A-194141,CHR,GA,Crawford,32.68513,-83.88709,124,17.57,26.12,8.55,1197.92,128.07,61.07,20.87,372.07,216.15,318.7,352,13.37,42.28,710.18,32.93,1.3,31.63,10.07,18.24,152.7,1405.71,39.85,-0.15,19.3,128.89,76478.6,76478.6,138.22,207.3,9,56.16,100.7,5052.4,175.15,73.29,334.26,65c,3,307,30701,3070103,307010315,30701031505,22.37,12.99,11.68,3.23,2.05,1.71,4.89,2.13,1.24,0.68,3.42,1.28,1.3,1.16,0.64,1.16,1.69
SAMN21243169,RAP1353,AMNH A-194142,CHR,GA,Crawford,32.68513,-83.88709,124,17.57,26.12,8.55,1197.92,128.07,61.07,20.87,372.07,216.15,318.7,352,13.37,42.28,710.18,32.93,1.3,31.63,10.07,18.24,152.7,1405.71,39.85,-0.15,19.3,128.89,76478.6,76478.6,138.22,207.3,9,56.16,100.7,5052.4,175.15,73.29,334.26,65c,3,307,30701,3070103,307010315,30701031505,25.94,14.94,13.84,3.35,2.24,1.47,5.59,2.67,1.46,0.44,3.87,1.57,1.38,1.16,0.6,1.17,1.68
SAMN21243170,RAP1365,AMNH A-194143,CHR,GA,Paulding,33.93523,-84.97022,371,15.15,24,5.89,1422.57,159.91,83.91,17.37,423.11,280.47,338.56,386.79,12.56,39.73,731.37,30.81,-0.8,31.61,7.46,20.37,380.24,1284.13,27.89,0.09,20.82,149.01,64744.79,58015.8,99.73,188.09,9,46.05,124.32,5070.14,166.53,62.2,244.65,45d,3,315,31501,3150104,315010412,31501041201,22.97,15.4,12.03,3.16,2.11,1.27,5.32,2.58,1.36,0.62,3.55,1.44,1.26,1.14,0.68,0.98,1.65
SAMN21243171,RAP1366,AMNH A-194144,CHR,GA,Paulding,33.93523,-84.97022,371,15.15,24,5.89,1422.57,159.91,83.91,17.37,423.11,280.47,338.56,386.79,12.56,39.73,731.37,30.81,-0.8,31.61,7.46,20.37,380.24,1284.13,27.89,0.09,20.82,149.01,64744.79,58015.8,99.73,188.09,9,46.05,124.32,5070.14,166.53,62.2,244.65,45d,3,315,31501,3150104,315010412,31501041201,26.87,22.48,14.11,3.77,2.08,1.49,5.86,2.87,1.58,0.77,3.92,1.59,1.24,1.4,0.89,1.1,2.03
SAMN21243172,RAP1367,AMNH A-194145,CHR,GA,Bartow,34.26162,-84.67616,310,15.04,24.09,5.55,1397.36,158.05,86.05,17.31,421.27,282.88,320.93,386.27,12.16,38.24,749.2,30.92,-0.87,31.79,7.15,20.39,343.12,1259.29,27.58,0.1,21.24,147.29,64058.68,57519.55,94.39,188.66,9,44.26,121.88,5058.82,165,60.33,239.79,66g,3,315,31501,3150104,315010410,31501041002,25.26,20.63,13.48,3.3,2.41,1.83,5.66,2.48,1.45,0.7,3.71,1.63,1.51,1.09,0.61,1.01,1.49
SAMN21243173,RAP1368,AMNH A-194146,CHR,GA,Bartow,34.26162,-84.67616,310,15.04,24.09,5.55,1397.36,158.05,86.05,17.31,421.27,282.88,320.93,386.27,12.16,38.24,749.2,30.92,-0.87,31.79,7.15,20.39,343.12,1259.29,27.58,0.1,21.24,147.29,64058.68,57519.55,94.39,188.66,9,44.26,121.88,5058.82,165,60.33,239.79,66g,3,315,31501,3150104,315010410,31501041002,21.74,17.11,11.47,2.97,1.62,1.59,4.85,2.29,1.24,0.57,3.42,1.48,1.41,1.09,0.63,1.04,1.54
SAMN21243174,RAP1371,AMNH A-194149,COH,GA,Gilmer,34.81049,-84.56055,532,13.39,22.4,3.98,1578.93,169.2,100.18,14.08,460.34,329.68,370.51,429.34,12.57,39.22,744.95,29.45,-2.6,32.05,5.38,18.77,572.06,1215.02,18.62,0.23,21.11,166.62,57157.21,40092.89,79.59,170.79,7,40.53,119.37,5082.3,161.71,55.64,193.3,66g,3,315,31501,3150102,315010203,31501020301,21.8,11.68,11.22,2.71,1.53,1.42,4.79,1.84,1.29,0.54,3.39,1.31,1.31,1.11,0.63,0.98,1.67
SAMN21243175,RAP1372,AMNH A-194150,COH,GA,Gilmer,34.81049,-84.56055,532,13.39,22.4,3.98,1578.93,169.2,100.18,14.08,460.34,329.68,370.51,429.34,12.57,39.22,744.95,29.45,-2.6,32.05,5.38,18.77,572.06,1215.02,18.62,0.23,21.11,166.62,57157.21,40092.89,79.59,170.79,7,40.53,119.37,5082.3,161.71,55.64,193.3,66g,3,315,31501,3150102,315010203,31501020301,25.97,13.54,13.89,3.31,2.58,1.96,5.76,2.33,1.57,0.68,3.83,1.44,1.56,1.36,0.64,1.03,1.91
SAMN21243176,RAP1384,AMNH A-194153,COH,GA,Murray,34.76897,-84.68524,817,12.9,21.63,3.63,1647.52,177.27,104.77,13.91,476.96,345.38,382.96,445.96,11.72,37.89,727.98,28.25,-2.68,30.93,5.03,18.23,783.07,1147.67,14.68,0.3,21.13,177.79,53177.43,37870.88,68.31,165.23,7,38.12,113.13,4826.04,153.31,52.23,165.21,66g,3,315,31501,3150101,315010104,31501010405,28.13,18.98,15.47,3.58,2.17,1.71,6.02,2.71,1.49,0.78,3.88,1.57,1.51,1.33,0.7,1.13,1.74
SAMN21243177,RAP1385,AMNH A-194154,COH,GA,Murray,34.76897,-84.68524,817,12.9,21.63,3.63,1647.52,177.27,104.77,13.91,476.96,345.38,382.96,445.96,11.72,37.89,727.98,28.25,-2.68,30.93,5.03,18.23,783.07,1147.67,14.68,0.3,21.13,177.79,53177.43,37870.88,68.31,165.23,7,38.12,113.13,4826.04,153.31,52.23,165.21,66g,3,315,31501,3150101,315010104,31501010405,29.88,22.07,14.94,4.26,1.91,1.62,6.77,3.03,1.59,0.84,4.37,1.71,1.53,1.5,0.83,1.13,1.79
SAMN21243178,RAP1400,AMNH A-194112,CHR,AL,Clay,33.39204,-85.77391,366,15.5,24.22,6.36,1480.79,175.13,86,19.68,456.25,286.13,338.54,416,12.81,40.63,722.27,31.02,-0.5,31.52,7.87,20.74,382.17,1313.69,26.76,0.12,20.58,157.07,65801.43,58873.72,106.07,188.29,9,48.69,127.25,5005.38,168.15,65.24,252.63,45a,3,315,31501,3150109,315010901,31501090101,16.79,10.55,8.76,2.28,1.79,1.55,3.9,1.58,0.85,0.36,2.86,1.21,1.09,0.94,0.42,0.75,1.43
SAMN21243179,RAP1401,AMNH A-194113,CHR,AL,Clay,33.39204,-85.77391,366,15.5,24.22,6.36,1480.79,175.13,86,19.68,456.25,286.13,338.54,416,12.81,40.63,722.27,31.02,-0.5,31.52,7.87,20.74,382.17,1313.69,26.76,0.12,20.58,157.07,65801.43,58873.72,106.07,188.29,9,48.69,127.25,5005.38,168.15,65.24,252.63,45a,3,315,31501,3150109,315010901,31501090101,26.69,11.62,14.27,3.88,1.99,1.47,5.74,2.9,1.74,0.8,3.99,1.68,1.43,1.49,0.76,1.16,1.88
SAMN21243180,RAP1599,AMNH A-194114,CHR,AL,Bibb,32.90692,-87.39201,95,16.9,25.77,7.61,1446.45,152.85,83,16.68,434.19,286.88,340.88,409.18,12.74,40.05,736.59,32.52,0.7,31.82,9.19,22.19,124.81,1355.35,28.82,0.05,20.27,153.79,74296.41,74296.41,122.97,208.3,9,51.81,131.05,5046.34,172.22,68.67,313.35,65i,3,316,31601,3160113,316011304,31601130401,19.9,13.1,10.79,2.46,1.78,1.88,4.59,1.57,1.07,0.44,3.2,1.31,1.11,1.18,0.7,0.94,1.56
SAMN21243181,RAP1600,AMNH A-194115,CHR,AL,Bibb,32.90692,-87.39201,95,16.9,25.77,7.61,1446.45,152.85,83,16.68,434.19,286.88,340.88,409.18,12.74,40.05,736.59,32.52,0.7,31.82,9.19,22.19,124.81,1355.35,28.82,0.05,20.27,153.79,74296.41,74296.41,122.97,208.3,9,51.81,131.05,5046.34,172.22,68.67,313.35,65i,3,316,31601,3160113,316011304,31601130401,18.82,9.06,9.87,2.45,1.94,1.71,4.41,1.47,1.05,0.46,3,1.34,1.22,1.15,0.58,0.85,1.5
SAMN21243182,RAP1601,AMNH A-194116,CHR,AL,Bibb,32.96803,-87.3196,88,16.89,25.79,7.56,1448.24,150.12,82,16.47,432.3,286.54,343.65,412.3,12.79,40.11,738.78,32.59,0.69,31.9,9.17,22.2,115.12,1352.1,28.41,0.06,20.31,154.35,74143.91,74143.91,122.35,208.46,9,51.58,130.67,5038.01,171.72,68.48,311.68,65i,3,315,31502,3150202,315020205,31502020505,11.85,4.02,5.92,1.54,1.07,1.03,2.99,0.94,0.65,0.27,2.09,1.04,0.8,0.77,0.38,0.67,1.06
SAMN21243183,RAP1602,AMNH A-194117,CHR,AL,Bibb,32.96803,-87.3196,88,16.89,25.79,7.56,1448.24,150.12,82,16.47,432.3,286.54,343.65,412.3,12.79,40.11,738.78,32.59,0.69,31.9,9.17,22.2,115.12,1352.1,28.41,0.06,20.31,154.35,74143.91,74143.91,122.35,208.46,9,51.58,130.67,5038.01,171.72,68.48,311.68,65i,3,315,31502,3150202,315020205,31502020505,20.47,13.34,10.84,2.73,2.1,1.57,4.73,1.79,1.2,0.48,3.31,1.32,1.2,1.19,0.64,0.96,1.62
SAMN32881792,RAP2004,AMNH A-194119,CHR,AL,Cleburne,33.48919,-85.79212,362,15.37,24.02,6.27,1475.52,174.46,83.64,19.63,452.95,285.34,336.77,412.38,12.46,40.14,717.81,30.68,-0.37,31.05,7.78,20.59,409.11,1305.94,26.53,0.12,20.71,156.45,65251.41,58429.75,103.42,187.68,8.95,47.93,126.82,5025.46,167.83,64.32,248.06,45d,3,315,31501,3150108,315010810,31501081003,19.62,19.49,10.41,2.29,1.94,1.78,4.91,1.49,1.01,0.5,2.95,0.98,1.28,1.17,0.64,0.96,1.6
SAMN32881793,RAP2005,,CHR,AL,Cleburne,33.48919,-85.79212,362,15.37,24.02,6.27,1475.52,174.46,83.64,19.63,452.95,285.34,336.77,412.38,12.46,40.14,717.81,30.68,-0.37,31.05,7.78,20.59,409.11,1305.94,26.53,0.12,20.71,156.45,65251.41,58429.75,103.42,187.68,8.95,47.93,126.82,5025.46,167.83,64.32,248.06,45d,3,315,31501,3150108,315010810,31501081003,,,,,,,,,,,,,,,,,
SAMN32881794,RAP2012,AMNH A-194120,CHR,AL,Tuscaloosa,33.25797,-87.3744,140,16.58,25.67,7.03,1460.68,162.77,83,18.55,439.52,276.49,345.08,412.75,12.94,39.72,755.54,32.63,0.04,32.58,8.61,22.06,152.06,1354.13,27.02,0.07,20.9,152.92,71888.02,71888.02,115,204.41,9,50.17,131.65,5175.3,173.67,67.12,293.29,68f,3,316,31601,3160112,316011203,31601120306,27.86,28.17,15.3,3.73,2.15,2.24,6.13,2.46,1.64,0.5,4.09,1.61,1.74,1.51,0.78,1.07,1.91
SAMN32881795,RAP2019,AMNH A-194123,CHR,AL,Coosa,33.03717,-86.12634,199,16.48,25.21,7.3,1472.49,174.81,80.22,20.72,455.34,284.86,348.86,415.62,13.44,41.84,725.63,32.2,0.08,32.12,8.86,21.71,231.65,1372.31,27.05,0.07,19.97,156.02,70251.22,70251.22,118.78,191.97,9,52.12,132.18,5121.07,173.93,69.26,283.68,45a,3,315,31501,3150107,315010707,31501070706,19.14,19.54,10.09,2.42,1.83,1.3,4.48,1.52,0.93,0.51,3.02,1.12,1.35,1.08,0.5,1,1.58
SAMN32963715,RAP2086,AMNH A-194158,NTA,GA,Union,34.7496,-83.92357,851,12.02,20.41,3.17,1753.96,185.57,117.27,11.79,501.44,384.78,415.08,468.11,12.06,39.51,698.73,27.05,-3.47,30.51,4.38,17.17,939.13,1125.76,7.23,0.37,20.07,197.31,49805.64,35564.49,69.81,152.4,7,38.66,109.47,4607.92,148.41,52.69,146.32,66d,6,602,60200,6020002,602000205,60200020501,16.29,13.18,8.54,2.17,1.23,1.14,4.14,1.37,0.79,0.33,2.58,1.15,1.08,0.84,0.4,0.72,1.23
SAMN32881796,RAP2110,,NTA,GA,Union,34.76783,-83.94666,836,11.7,20.1,2.83,1779.17,187.98,118.56,11.72,506.85,389.88,421.44,472.98,11.89,39.09,700.25,26.64,-3.76,30.4,4.04,16.88,999.43,1115.98,9.75,0.38,20.04,199.07,49035.75,35151.59,67.86,150.71,7,38.17,108.91,4581.95,147.34,52.01,140.96,66d,6,602,60200,6020002,602000205,60200020503,,,,,,,,,,,,,,,,,
SAMN32881797,RAP2111,,NTA,GA,Union,34.76783,-83.94666,836,11.7,20.1,2.83,1779.17,187.98,118.56,11.72,506.85,389.88,421.44,472.98,11.89,39.09,700.25,26.64,-3.76,30.4,4.04,16.88,999.43,1115.98,9.75,0.38,20.04,199.07,49035.75,35151.59,67.86,150.71,7,38.17,108.91,4581.95,147.34,52.01,140.96,66d,6,602,60200,6020002,602000205,60200020503,,,,,,,,,,,,,,,,,
SAMN32881798,RAP2122,AMNH A-194162,NTA,GA,Union,34.74944,-84.00466,820,12.12,20.66,3.11,1709.4,181.45,113.3,12.19,492.06,372.96,404.06,458.96,12.24,39.52,711.33,27.35,-3.61,30.96,4.38,17.35,879.54,1140.5,8.09,0.34,20.28,190.78,50838.24,36196.36,71.55,155.55,7,39.15,111.3,4669.81,150.47,53.33,152.48,66d,6,602,60200,6020003,602000301,60200030102,15.11,11.67,7.7,1.81,1.2,1.04,3.71,1.31,0.77,0.43,2.53,1.14,1.03,0.95,0.5,0.82,1.29
SAMN32881799,RAP2123,AMNH A-194163,NTA,GA,Union,34.74944,-84.00466,820,12.12,20.66,3.11,1709.4,181.45,113.3,12.19,492.06,372.96,404.06,458.96,12.24,39.52,711.33,27.35,-3.61,30.96,4.38,17.35,879.54,1140.5,8.09,0.34,20.28,190.78,50838.24,36196.36,71.55,155.55,7,39.15,111.3,4669.81,150.47,53.33,152.48,66d,6,602,60200,6020003,602000301,60200030102,25.8,22.38,14.31,3.1,2.76,2.01,5.52,2.17,1.76,0.56,3.67,1.4,1.5,1.42,0.74,1.07,2.01
SAMN32881800,RAP2141,,NTA,GA,Dawson,34.53045,-84.30597,584,13.5,22.16,4.39,1609.05,174.35,106.12,14.27,474.81,340.43,373.04,440.81,11.98,38.66,718.22,28.88,-2.12,31,5.79,18.67,644.11,1182.83,13.68,0.28,20.68,176.99,56479.23,39527.65,79.77,170.54,7,40.77,115.48,4827.72,155.92,55.5,189.48,66g,3,315,31501,3150104,315010402,31501040201,,,,,,,,,,,,,,,,,
SAMN32881801,RAP2142,AMNH A-194164,NTA,GA,Dawson,34.53045,-84.30597,584,13.5,22.16,4.39,1609.05,174.35,106.12,14.27,474.81,340.43,373.04,440.81,11.98,38.66,718.22,28.88,-2.12,31,5.79,18.67,644.11,1182.83,13.68,0.28,20.68,176.99,56479.23,39527.65,79.77,170.54,7,40.77,115.48,4827.72,155.92,55.5,189.48,66g,3,315,31501,3150104,315010402,31501040201,15.7,11.22,8.13,2.02,1.46,1.6,3.91,1.35,0.73,0.42,2.78,1.09,1.11,1.11,0.7,0.83,1.41
SAMN32881802,RAP2164,,CHR,GA,Talbot,32.88106,-84.50327,193,16.81,25.27,7.87,1302.04,151.05,73.05,19.94,401.71,247.71,322.48,372.66,13.39,42.5,703.63,32.13,0.63,31.5,9.37,17.5,255.98,1392.78,35.33,-0.07,19.55,139.19,73351.53,73351.53,130.57,199.73,9,54.86,99.65,5070.67,174.6,72.11,310.22,45h,3,313,31300,3130005,313000507,31300050705,,,,,,,,,,,,,,,,,
