"","Temperature_mean_surface","Temperature_min_surface","Temperature_max_surface","Salinity_mean_surface","Salinity_min_surface","Salinity_max_surface","Dissolved_oxygen_mean_surface","Chlorophyll_mean_surface","Nitrate_mean_surface","Phosphate_mean_surface","Silicate_mean_surface","pH_surface"
"Epap_12_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_13_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_14_Gei10_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_15_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_16_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_17_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_18_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_19_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_20_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_21_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_22_Gei3_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_23_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_24_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_25_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Epap_26_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_27_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_28_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_29_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_30_Swe2_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_31_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_32_Swe4_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_33_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_34_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_35_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_36_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_37_Pan6_Swe_Pla_Ssal_Ant_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_37_Pan6_Swe_Pla_Ssal_Ant_02",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epap_37_Pan6_Swe_Pla_Ssal_Ant_03",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Epap_37_Pan6_Swe_Pla_Ssal_Ant_04",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Epap_37_Pan6_Swe_Pla_Ssal_Ant_05",27.701361,25.562162,29.614399,34.95828,33.140001,36.796089,202.984317,0.039419,0.019274,0.006551,6.903867,8.19400024414062
"Epap_38_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_39_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_40_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_41_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_42_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_43_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Epap_44_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Epap_45_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Epap_46_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Epap_47_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Epap_48_LSS16_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Epap_49_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Epap_50_Bim2_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_51_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_52_Bim3_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_53_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_54_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_55_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_56_Comp_01",27.030312,23.228479,30.295071,36.40019,35.482493,37.266685,202.489215,0.022518,0.016157,4e-05,4.262709,8.22299957275391
"Epap_57_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Epap_58_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Epap_59_Cur3_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Epap_59_Cur3_Jam_02",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Epap_59_Cur3_Jam_03",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Epap_60_Cur3_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Epap_60_Cur3_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Epap_61_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Epap_61_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Epap_62_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Epap_62_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Epap_63_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_64_Swe_Stir_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Etai_64_Swe_Stir_02",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_65_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_66_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_67_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_68_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_69_Stir_Pla_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_69_Stir_Pla_02",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_70_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Etai_71_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_72_Pla_SSal_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_72_Pla_SSal_02",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Etai_73_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_74_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_75_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_76_Pla_LSS_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_76_Pla_LSS_02",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Etai_77_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Etai_78_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Etai_79_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Etai_80_Comp_Jam_01",27.030312,23.228479,30.295071,36.40019,35.482493,37.266685,202.489215,0.022518,0.016157,4e-05,4.262709,8.22299957275391
"Etai_80_Comp_Jam_02",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_81_Comp_01",27.030312,23.228479,30.295071,36.40019,35.482493,37.266685,202.489215,0.022518,0.016157,4e-05,4.262709,8.22299957275391
"Etai_82_Comp_01",27.030312,23.228479,30.295071,36.40019,35.482493,37.266685,202.489215,0.022518,0.016157,4e-05,4.262709,8.22299957275391
"Etai_83_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Etai_84_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Etai_85_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Etai_86_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Etai_87_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Etai_88_NPr_01",26.784393,22.96475,30.139446,36.527152,35.876243,37.077789,203.127998,0.032124,0.019349,7.4e-05,4.558555,8.2180004119873
"Etai_89_NPr_01",26.784393,22.96475,30.139446,36.527152,35.876243,37.077789,203.127998,0.032124,0.019349,7.4e-05,4.558555,8.2180004119873
"Etai_90_NPr_01",26.784393,22.96475,30.139446,36.527152,35.876243,37.077789,203.127998,0.032124,0.019349,7.4e-05,4.558555,8.2180004119873
"Etai_91_NPr_01",26.784393,22.96475,30.139446,36.527152,35.876243,37.077789,203.127998,0.032124,0.019349,7.4e-05,4.558555,8.2180004119873
"Etai_92_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Etai_93_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Etai_94_Dom_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etai_95_Dom_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etai_96_Dom2_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etai_97_Dom_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etai_98_Dom_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etai_99_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Etai_100_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_101_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_102_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_103_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_104_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_105_Jam_Dom_Bim_NPr_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_105_Jam_Dom_Bim_NPr_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etai_105_Jam_Dom_Bim_NPr_03",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Etai_105_Jam_Dom_Bim_NPr_04",26.784393,22.96475,30.139446,36.527152,35.876243,37.077789,203.127998,0.032124,0.019349,7.4e-05,4.558555,8.2180004119873
"Etai_106_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_107_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_108_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_109_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_110_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Etai_111_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Epat_01_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epat_02_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epat_03_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epat_04_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epat_05_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epat_06_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epat_05_Swe7_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epat_02_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epat_04_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epat_03_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epat_05_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Epat_01_Mot_01",26.782421,21.561865,30.808657,36.062251,35.346844,36.47701,205.178708,0.056345,0.746254,4.7e-05,6.724813,8.21000003814697
"Epat_02_Mot_01",26.782421,21.561865,30.808657,36.062251,35.346844,36.47701,205.178708,0.056345,0.746254,4.7e-05,6.724813,8.21000003814697
"Epat_03_Mot_01",26.782421,21.561865,30.808657,36.062251,35.346844,36.47701,205.178708,0.056345,0.746254,4.7e-05,6.724813,8.21000003814697
"Epat_04_Mot_01",26.782421,21.561865,30.808657,36.062251,35.346844,36.47701,205.178708,0.056345,0.746254,4.7e-05,6.724813,8.21000003814697
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_02",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_03",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_04",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_05",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_06",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_07",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_08",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_09",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_01_Pan_Jam_Swe7_Stir4_LSS2_SSal4_Bim_Cur4_USVI4_10",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_02",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_03",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_04",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_05",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_06",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_02_Pan_Ber3_Stir3_LSS2_Pla_NEx_USVI_07",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_03_Pan2_Jam_Stir_NEx_Bim_USVI_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_03_Pan2_Jam_Stir_NEx_Bim_USVI_02",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_03_Pan2_Jam_Stir_NEx_Bim_USVI_03",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_03_Pan2_Jam_Stir_NEx_Bim_USVI_04",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_03_Pan2_Jam_Stir_NEx_Bim_USVI_05",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_03_Pan2_Jam_Stir_NEx_Bim_USVI_06",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
